Timestamp,State
2023-12-06 15:44:47,Left
2023-12-06 15:44:48,Center
2023-12-06 15:45:15,Left
2023-12-06 15:45:17,Center
2023-12-06 15:45:29,Left
2023-12-06 15:45:30,Center
2023-12-06 15:45:31,Left
2023-12-06 15:45:31,Center
2023-12-06 15:45:33,Left
2023-12-06 15:45:39,Center
2023-12-06 15:45:40,Right
2023-12-06 15:45:40,Center
2023-12-06 15:45:40,Right
2023-12-06 15:45:40,Center
2023-12-06 15:45:40,Left
2023-12-06 15:45:41,Center
2023-12-06 15:45:50,Left
2023-12-06 15:45:50,Center
2023-12-06 15:46:07,Right
2023-12-06 15:46:08,Center
2023-12-06 15:46:08,Right
2023-12-06 15:46:08,Center
2023-12-06 15:46:09,Right
2023-12-06 15:46:09,Center
2023-12-06 15:46:30,Left
2023-12-06 15:46:30,Center
2023-12-06 15:46:32,Right
2023-12-06 15:46:33,Center
2023-12-06 15:46:34,Left
2023-12-06 15:46:35,Center
2023-12-06 15:46:35,Right
2023-12-06 15:46:36,Center
2023-12-06 15:46:45,Right
2023-12-06 15:46:46,Center
2023-12-06 15:47:29,Right
2023-12-06 15:47:30,Center
2023-12-06 15:47:31,Left
2023-12-06 15:47:31,Center
2023-12-06 15:47:32,Left
2023-12-06 15:47:32,Center
2023-12-06 15:47:45,Left
2023-12-06 15:47:46,Center
2023-12-06 15:47:53,Left
2023-12-06 15:47:53,Center
2023-12-06 15:47:53,Left
2023-12-06 15:47:53,Center
2023-12-06 15:47:55,Left
2023-12-06 15:47:55,Center
2023-12-06 15:48:05,Left
2023-12-06 15:48:05,Center
2023-12-06 15:48:06,Left
2023-12-06 15:48:06,Center
2023-12-06 15:48:22,Left
2023-12-06 15:48:23,Center
2023-12-06 15:48:28,Left
2023-12-06 15:48:28,Center
2023-12-06 15:48:34,Left
2023-12-06 15:48:38,Center
2023-12-06 15:48:45,Right
2023-12-06 15:48:46,Center
2023-12-06 15:48:46,Right
2023-12-06 15:48:47,Center
2023-12-06 15:48:55,Left
2023-12-06 15:48:56,Center
2023-12-06 15:49:24,Left
2023-12-06 15:49:24,Center
2023-12-06 15:49:38,Left
2023-12-06 15:49:38,Center
2023-12-06 15:49:48,Left
2023-12-06 15:49:48,Center
2023-12-06 15:50:10,Left
2023-12-06 15:50:10,Center
2023-12-06 15:50:19,Right
2023-12-06 15:50:19,Center
2023-12-06 15:50:19,Right
2023-12-06 15:50:19,Center
2023-12-06 15:50:29,Left
2023-12-06 15:50:30,Center
2023-12-06 15:50:32,Left
2023-12-06 15:50:33,Center
2023-12-06 15:50:36,Right
2023-12-06 15:50:36,Center
2023-12-06 15:50:45,Left
2023-12-06 15:50:46,Center
2023-12-06 15:50:49,Left
2023-12-06 15:50:49,Center
2023-12-06 15:50:53,Right
2023-12-06 15:50:54,Center
2023-12-06 15:50:55,Right
2023-12-06 15:50:56,Center
2023-12-06 15:51:00,Left
2023-12-06 15:51:01,Center
2023-12-06 15:51:01,Left
2023-12-06 15:51:01,Center
2023-12-06 15:51:04,Right
2023-12-06 15:51:04,Center
2023-12-06 15:51:10,Left
2023-12-06 15:51:10,Center
2023-12-06 15:51:13,Right
2023-12-06 15:51:14,Center
2023-12-06 15:51:17,Left
2023-12-06 15:51:17,Center
2023-12-06 15:51:17,Left
2023-12-06 15:51:17,Center
2023-12-06 15:51:21,Left
2023-12-06 15:51:22,Center
2023-12-06 15:51:32,Left
2023-12-06 15:51:33,Center
2023-12-06 15:51:33,Left
2023-12-06 15:51:33,Center
2023-12-06 15:51:37,Right
2023-12-06 15:51:37,Center
2023-12-06 15:51:39,Left
2023-12-06 15:51:39,Center
2023-12-06 15:51:41,Right
2023-12-06 15:51:41,Center
2023-12-06 15:51:46,Left
2023-12-06 15:51:46,Center
2023-12-06 15:51:50,Right
2023-12-06 15:51:50,Center
2023-12-06 15:51:58,Left
2023-12-06 15:51:58,Center
2023-12-06 15:52:04,Right
2023-12-06 15:52:04,Center
2023-12-06 15:52:06,Left
2023-12-06 15:52:06,Center
2023-12-06 15:52:08,Left
2023-12-06 15:52:08,Center
2023-12-06 15:52:08,Left
2023-12-06 15:52:08,Center
2023-12-06 15:52:20,Right
2023-12-06 15:52:20,Center
2023-12-06 15:52:21,Right
2023-12-06 15:52:21,Center
2023-12-06 15:52:41,Right
2023-12-06 15:52:41,Center
2023-12-06 15:52:41,Right
2023-12-06 15:52:41,Center
2023-12-06 15:52:42,Right
2023-12-06 15:52:43,Center
2023-12-06 15:52:45,Right
2023-12-06 15:52:46,Center
2023-12-06 15:52:48,Left
2023-12-06 15:52:48,Center
2023-12-06 15:52:59,Right
2023-12-06 15:52:59,Center
2023-12-06 15:53:09,Right
2023-12-06 15:53:09,Center
2023-12-06 15:53:17,Right
2023-12-06 15:53:17,Center
2023-12-06 15:53:30,Right
2023-12-06 15:53:30,Center
2023-12-06 15:53:37,Right
2023-12-06 15:53:37,Center
2023-12-06 15:53:37,Right
2023-12-06 15:53:37,Center
2023-12-06 15:53:37,Right
2023-12-06 15:53:38,Center
2023-12-06 15:53:40,Left
2023-12-06 15:53:40,Center
2023-12-06 15:53:41,Left
2023-12-06 15:53:41,Center
2023-12-06 15:53:48,Right
2023-12-06 15:53:48,Center
2023-12-06 15:54:07,Left
2023-12-06 15:54:08,Center
2023-12-06 15:54:08,Left
2023-12-06 15:54:09,Center
2023-12-06 15:54:11,Left
2023-12-06 15:56:46,Center
2023-12-06 15:56:46,Left
2023-12-06 15:56:48,Center
2023-12-06 15:56:48,Left
2023-12-06 15:56:51,Center
