Timestamp,State
2023-12-06 15:03:31,Right
2023-12-06 15:03:38,Center
2023-12-06 15:03:39,Left
2023-12-06 15:03:42,Center
2023-12-06 15:03:43,Left
2023-12-06 15:03:43,Center
2023-12-06 15:03:43,Left
2023-12-06 15:03:43,Center
2023-12-06 15:03:43,Left
2023-12-06 15:03:43,Center
2023-12-06 15:03:43,Left
2023-12-06 15:03:44,Center
2023-12-06 15:03:44,Left
2023-12-06 15:03:45,Center
2023-12-06 15:03:45,Left
2023-12-06 15:03:45,Center
2023-12-06 15:03:48,Left
2023-12-06 15:03:48,Center
2023-12-06 15:03:48,Left
2023-12-06 15:03:48,Center
2023-12-06 15:03:52,Left
2023-12-06 15:03:52,Center
2023-12-06 15:03:52,Left
2023-12-06 15:03:52,Center
2023-12-06 15:03:52,Left
2023-12-06 15:03:56,Center
2023-12-06 15:03:56,Left
2023-12-06 15:03:56,Center
2023-12-06 15:03:56,Left
2023-12-06 15:03:56,Center
2023-12-06 15:03:56,Left
2023-12-06 15:03:57,Center
2023-12-06 15:03:57,Left
2023-12-06 15:03:57,Center
2023-12-06 15:03:57,Left
2023-12-06 15:04:01,Center
2023-12-06 15:04:11,Left
2023-12-06 15:04:11,Center
2023-12-06 15:04:39,Left
2023-12-06 15:04:42,Center



2023-12-06 15:05:02,Left
2023-12-06 15:05:03,Center
2023-12-06 15:05:03,Right
2023-12-06 15:05:06,Center
2023-12-06 15:05:13,Right
2023-12-06 15:05:13,Center
2023-12-06 15:05:13,Right
2023-12-06 15:05:14,Center
2023-12-06 15:05:31,Right
2023-12-06 15:05:32,Center
2023-12-06 15:05:34,Right
2023-12-06 15:05:35,Center
2023-12-06 15:05:43,Right
2023-12-06 15:05:44,Center
2023-12-06 15:05:50,Right
2023-12-06 15:05:51,Center
2023-12-06 15:06:03,Right
2023-12-06 15:06:04,Center
2023-12-06 15:06:04,Right
2023-12-06 15:06:04,Center
2023-12-06 15:06:07,Right
2023-12-06 15:06:08,Center
2023-12-06 15:06:18,Right
2023-12-06 15:06:18,Center
2023-12-06 15:06:21,Right
2023-12-06 15:06:21,Center
2023-12-06 15:06:29,Right
2023-12-06 15:06:30,Center
2023-12-06 15:06:37,Right
2023-12-06 15:06:38,Center
2023-12-06 15:06:40,Right
2023-12-06 15:06:41,Center
2023-12-06 15:06:42,Left
2023-12-06 15:06:42,Center
2023-12-06 15:06:45,Left
2023-12-06 15:06:45,Center
2023-12-06 15:06:49,Right
2023-12-06 15:06:49,Center
2023-12-06 15:06:57,Left
2023-12-06 15:06:57,Center
2023-12-06 15:07:25,Left
2023-12-06 15:07:25,Center
2023-12-06 15:07:51,Right
2023-12-06 15:07:51,Center
2023-12-06 15:07:52,Right
2023-12-06 15:07:52,Center
2023-12-06 15:07:59,Left
2023-12-06 15:07:59,Center
2023-12-06 15:08:02,Left
2023-12-06 15:08:02,Center
2023-12-06 15:08:02,Left
2023-12-06 15:08:03,Center
2023-12-06 15:08:03,Left
2023-12-06 15:08:03,Center
2023-12-06 15:08:15,Right
2023-12-06 15:08:15,Center
2023-12-06 15:08:35,Right
2023-12-06 15:08:36,Center
2023-12-06 15:08:41,Right
2023-12-06 15:08:42,Center
2023-12-06 15:08:42,Right
2023-12-06 15:08:43,Center
2023-12-06 15:09:02,Left
2023-12-06 15:09:02,Center
2023-12-06 15:09:07,Left
2023-12-06 15:09:07,Center
2023-12-06 15:09:20,Left
2023-12-06 15:09:20,Center
2023-12-06 15:09:25,Left
2023-12-06 15:09:26,Center
2023-12-06 15:09:38,Left
2023-12-06 15:09:39,Center
2023-12-06 15:09:43,Left
2023-12-06 15:09:43,Center
2023-12-06 15:09:58,Left
2023-12-06 15:09:58,Center
2023-12-06 15:09:58,Left
2023-12-06 15:09:58,Center
2023-12-06 15:10:34,Right
2023-12-06 15:10:34,Center
2023-12-06 15:11:08,Left
2023-12-06 15:11:08,Center
2023-12-06 15:11:15,Left
2023-12-06 15:11:16,Center
2023-12-06 15:11:27,Left
2023-12-06 15:11:27,Center
2023-12-06 15:11:28,Left
2023-12-06 15:11:29,Center
2023-12-06 15:11:45,Left
2023-12-06 15:11:45,Center
2023-12-06 15:11:47,Left
2023-12-06 15:11:47,Center
2023-12-06 15:12:58,Left
2023-12-06 15:12:58,Center
2023-12-06 15:13:00,Left
2023-12-06 15:13:00,Center
2023-12-06 15:13:05,Left
2023-12-06 15:13:05,Center
2023-12-06 15:13:09,Right
2023-12-06 15:13:09,Center
2023-12-06 15:13:09,Right
2023-12-06 15:13:10,Center
2023-12-06 15:13:18,Right
2023-12-06 15:13:18,Center
2023-12-06 15:13:19,Right
2023-12-06 15:13:19,Center
2023-12-06 15:13:50,Right
2023-12-06 15:13:51,Center
2023-12-06 15:13:51,Right
2023-12-06 15:13:51,Center
2023-12-06 15:14:27,Right
2023-12-06 15:14:27,Center
2023-12-06 15:15:00,Left
