Timestamp,State
2023-12-08 11:54:09,Left
2023-12-08 11:54:09,Center
2023-12-08 11:54:10,Left
2023-12-08 11:54:41,Center
2023-12-08 11:54:43,Left
2023-12-08 11:54:44,Center
2023-12-08 11:54:44,Right
2023-12-08 11:54:44,Center
2023-12-08 11:54:44,Right
2023-12-08 11:54:48,Center
2023-12-08 11:54:53,Left
2023-12-08 11:54:53,Center
2023-12-08 11:54:54,Right
2023-12-08 11:54:54,Center

#start test

2023-12-08 11:56:03,Right
2023-12-08 11:56:07,Center
2023-12-08 11:56:07,Right
2023-12-08 11:56:07,Center
2023-12-08 11:56:12,Left
2023-12-08 11:56:16,Center
2023-12-08 11:56:16,Left
2023-12-08 11:56:16,Center
2023-12-08 11:57:00,Right
2023-12-08 11:57:01,Center
2023-12-08 11:57:25,Right
2023-12-08 11:57:28,Center
2023-12-08 11:57:32,Left
2023-12-08 11:57:32,Center
2023-12-08 11:57:37,Right
2023-12-08 11:57:37,Center
2023-12-08 11:57:43,Right
2023-12-08 11:57:50,Center
2023-12-08 11:58:06,Right
2023-12-08 11:58:08,Center
2023-12-08 11:58:22,Right
2023-12-08 11:58:23,Center
2023-12-08 11:58:26,Right
2023-12-08 11:58:26,Center
2023-12-08 11:58:26,Right
2023-12-08 11:58:27,Center
2023-12-08 11:58:57,Right
2023-12-08 11:58:59,Center
2023-12-08 11:59:03,Right
2023-12-08 11:59:04,Center
2023-12-08 11:59:19,Right
2023-12-08 11:59:19,Center
2023-12-08 11:59:19,Right
2023-12-08 11:59:19,Center
2023-12-08 11:59:20,Right
2023-12-08 11:59:22,Center
2023-12-08 11:59:38,Right
2023-12-08 11:59:40,Center
2023-12-08 11:59:44,Right
2023-12-08 11:59:45,Center
2023-12-08 12:00:10,Right
2023-12-08 12:00:11,Center
2023-12-08 12:00:44,Right
2023-12-08 12:00:46,Center
2023-12-08 12:00:56,Right
2023-12-08 12:00:58,Center
2023-12-08 12:01:01,Right
2023-12-08 12:01:03,Center
2023-12-08 12:01:22,Right
2023-12-08 12:01:23,Center
2023-12-08 12:01:30,Right
2023-12-08 12:01:31,Center
2023-12-08 12:02:03,Right
2023-12-08 12:02:03,Center
2023-12-08 12:02:03,Right
2023-12-08 12:02:04,Center
2023-12-08 12:02:08,Right
2023-12-08 12:02:08,Center
2023-12-08 12:02:24,Right
2023-12-08 12:02:25,Center
2023-12-08 12:02:25,Right
2023-12-08 12:02:26,Center
2023-12-08 12:02:26,Right
2023-12-08 12:02:26,Center
2023-12-08 12:02:26,Right
2023-12-08 12:02:26,Center
2023-12-08 12:02:26,Right
2023-12-08 12:02:27,Center
2023-12-08 12:02:27,Right
2023-12-08 12:02:27,Center

#end test
