Timestamp,State
2023-12-07 12:30:38,Left
2023-12-07 12:31:04,Center
2023-12-07 12:31:05,Right
2023-12-07 12:31:06,Center
2023-12-07 12:31:13,Right
2023-12-07 12:31:14,Center
2023-12-07 12:31:42,Left
2023-12-07 12:31:44,Center
2023-12-07 12:31:45,Left
2023-12-07 12:32:05,Center
2023-12-07 12:32:06,Right
2023-12-07 12:32:20,Left
2023-12-07 12:32:24,Center
2023-12-07 12:32:25,Left
2023-12-07 12:36:42,Center
2023-12-07 12:37:05,Left
2023-12-07 12:38:16,Center
2023-12-07 12:38:20,Left
2023-12-07 12:38:21,Right
2023-12-07 12:38:21,Center
2023-12-07 12:38:21,Left
2023-12-07 12:38:46,Center
2023-12-07 12:38:48,Left
2023-12-07 12:38:49,Center
2023-12-07 12:38:50,Right
2023-12-07 12:38:51,Center
2023-12-07 12:38:51,Right
2023-12-07 12:38:51,Center
2023-12-07 12:38:51,Right
2023-12-07 12:38:52,Center
2023-12-07 12:38:53,Right
2023-12-07 12:38:54,Center
2023-12-07 12:38:55,Right
2023-12-07 12:38:55,Center
2023-12-07 12:38:55,Right
2023-12-07 12:38:56,Center
2023-12-07 12:38:57,Right
2023-12-07 12:38:59,Center
2023-12-07 12:39:00,Right
2023-12-07 12:39:01,Center
2023-12-07 12:39:19,Left
2023-12-07 12:39:20,Center
2023-12-07 12:39:56,Right
2023-12-07 12:39:56,Center
2023-12-07 12:40:17,Left
2023-12-07 12:40:59,Center
2023-12-07 12:40:59,Right
2023-12-07 12:41:00,Center
2023-12-07 12:41:04,Left
2023-12-07 12:41:04,Center
2023-12-07 12:41:04,Left
2023-12-07 12:41:11,Center
2023-12-07 12:41:58,Left
2023-12-07 12:41:58,Center
2023-12-07 12:42:00,Right
2023-12-07 12:42:00,Center
2023-12-07 12:42:00,Right
2023-12-07 12:42:01,Center
2023-12-07 12:42:02,Left
2023-12-07 12:42:02,Center
2023-12-07 12:42:02,Right
2023-12-07 12:42:03,Center
2023-12-07 12:42:03,Right
2023-12-07 12:42:05,Center
2023-12-07 12:42:12,Left
2023-12-07 12:42:13,Center
2023-12-07 12:42:13,Right
2023-12-07 12:42:14,Center
2023-12-07 12:42:14,Left
2023-12-07 12:42:15,Center
2023-12-07 12:42:23,Right
2023-12-07 12:42:24,Center
2023-12-07 12:42:26,Left
2023-12-07 12:42:26,Center
2023-12-07 12:42:27,Right
2023-12-07 12:42:27,Center
2023-12-07 12:42:32,Right
2023-12-07 12:42:33,Center
2023-12-07 12:42:34,Right
2023-12-07 12:42:34,Center
2023-12-07 12:42:34,Right
2023-12-07 12:42:34,Center
2023-12-07 12:42:40,Right
2023-12-07 12:42:40,Center
2023-12-07 12:42:47,Right
2023-12-07 12:42:48,Center
2023-12-07 12:42:48,Right
2023-12-07 12:42:48,Center
2023-12-07 12:42:58,Right
2023-12-07 12:42:58,Center
2023-12-07 12:43:03,Right
2023-12-07 12:43:03,Center
2023-12-07 12:43:19,Right
2023-12-07 12:43:19,Center
2023-12-07 12:43:30,Right
2023-12-07 12:43:31,Center
2023-12-07 12:43:31,Right
2023-12-07 12:43:32,Center
2023-12-07 12:43:36,Right
2023-12-07 12:43:36,Center
2023-12-07 12:43:50,Right
2023-12-07 12:43:50,Center
2023-12-07 12:43:53,Left
2023-12-07 12:43:54,Center
2023-12-07 12:44:05,Left
2023-12-07 12:44:05,Center
2023-12-07 12:44:05,Left
2023-12-07 12:44:05,Center
2023-12-07 12:44:13,Left
2023-12-07 12:44:13,Center
2023-12-07 12:44:22,Right
2023-12-07 12:44:22,Center
2023-12-07 12:44:22,Right
2023-12-07 12:44:22,Center
2023-12-07 12:44:28,Right
2023-12-07 12:44:28,Center
2023-12-07 12:44:28,Right
2023-12-07 12:44:29,Center
2023-12-07 12:44:29,Right
2023-12-07 12:44:29,Center
2023-12-07 12:44:29,Right
2023-12-07 12:44:30,Center
2023-12-07 12:44:55,Right
2023-12-07 12:44:56,Center
2023-12-07 12:44:56,Right
2023-12-07 12:44:56,Center
2023-12-07 12:45:01,Right
2023-12-07 12:45:04,Center
2023-12-07 12:45:05,Right
2023-12-07 12:45:05,Center
2023-12-07 12:45:07,Right
2023-12-07 12:45:08,Center
2023-12-07 12:45:10,Right
2023-12-07 12:45:11,Center
2023-12-07 12:45:14,Left
2023-12-07 12:45:15,Center
2023-12-07 12:45:15,Left
2023-12-07 12:45:15,Center
2023-12-07 12:45:15,Right
2023-12-07 12:45:16,Center
2023-12-07 12:45:25,Right
2023-12-07 12:45:26,Center
2023-12-07 12:45:32,Right
2023-12-07 12:45:33,Center
2023-12-07 12:45:45,Right
2023-12-07 12:45:46,Center
2023-12-07 12:45:50,Right
2023-12-07 12:45:51,Center
2023-12-07 12:45:52,Right
2023-12-07 12:45:54,Center
2023-12-07 12:45:57,Right
2023-12-07 12:45:58,Center
2023-12-07 12:45:58,Right
2023-12-07 12:45:58,Center
2023-12-07 12:46:25,Right
2023-12-07 12:46:25,Center
2023-12-07 12:46:25,Right
2023-12-07 12:46:25,Center
2023-12-07 12:46:30,Right
2023-12-07 12:46:33,Center
2023-12-07 12:46:36,Right
2023-12-07 12:46:37,Center
2023-12-07 12:46:37,Right
2023-12-07 12:46:37,Center
2023-12-07 12:46:49,Right
2023-12-07 12:46:49,Center
2023-12-07 12:46:49,Right
2023-12-07 12:46:49,Center
2023-12-07 12:46:50,Right
2023-12-07 12:46:51,Center
2023-12-07 12:46:54,Right
2023-12-07 12:46:56,Center
2023-12-07 12:46:56,Right
2023-12-07 12:46:57,Center
2023-12-07 12:47:01,Right
2023-12-07 12:47:02,Center
2023-12-07 12:47:15,Right
2023-12-07 12:47:15,Center
2023-12-07 12:47:19,Right
2023-12-07 12:47:20,Center
2023-12-07 12:47:21,Right
2023-12-07 12:47:23,Center
2023-12-07 12:47:27,Right
2023-12-07 12:47:27,Center
2023-12-07 12:47:28,Right
2023-12-07 12:47:28,Center
2023-12-07 12:47:55,Right
2023-12-07 12:47:56,Center
2023-12-07 12:48:17,Right
2023-12-07 12:48:18,Center
2023-12-07 12:48:18,Right
2023-12-07 12:48:18,Center
2023-12-07 12:48:22,Right
2023-12-07 12:48:25,Center
2023-12-07 12:48:26,Right
2023-12-07 12:48:26,Center
2023-12-07 12:48:26,Right
2023-12-07 12:48:27,Center
