Timestamp,State
2023-12-08 12:12:30,Left
2023-12-08 12:12:32,Center
2023-12-08 12:12:32,Right
2023-12-08 12:12:35,Center
2023-12-08 12:12:35,Left
2023-12-08 12:12:36,Center
2023-12-08 12:12:37,Left
2023-12-08 12:12:38,Center

#start test

2023-12-08 12:13:19,Right
2023-12-08 12:13:21,Center
2023-12-08 12:13:22,Left
2023-12-08 12:13:23,Center
2023-12-08 12:13:24,Right
2023-12-08 12:13:27,Center
2023-12-08 12:13:33,Right
2023-12-08 12:13:34,Center
2023-12-08 12:14:19,Right
2023-12-08 12:14:20,Center
2023-12-08 12:14:21,Right
2023-12-08 12:14:22,Center
2023-12-08 12:14:22,Right
2023-12-08 12:14:22,Center
2023-12-08 12:14:30,Right
2023-12-08 12:14:31,Center
2023-12-08 12:15:06,Right
2023-12-08 12:15:07,Center
2023-12-08 12:15:08,Right
2023-12-08 12:15:08,Center
2023-12-08 12:15:08,Right
2023-12-08 12:15:08,Center
2023-12-08 12:15:12,Right
2023-12-08 12:15:13,Center
2023-12-08 12:15:13,Right
2023-12-08 12:15:13,Center
2023-12-08 12:15:43,Right
2023-12-08 12:15:44,Center
2023-12-08 12:15:44,Right
2023-12-08 12:15:44,Center
2023-12-08 12:15:46,Right
2023-12-08 12:15:47,Center
2023-12-08 12:15:52,Right
2023-12-08 12:15:55,Center
2023-12-08 12:15:56,Right
2023-12-08 12:15:57,Center
2023-12-08 12:16:01,Right
2023-12-08 12:16:02,Center
2023-12-08 12:16:09,Left
2023-12-08 12:16:09,Center
2023-12-08 12:16:13,Right
2023-12-08 12:16:14,Center
2023-12-08 12:16:29,Right
2023-12-08 12:16:29,Center
2023-12-08 12:16:57,Right
2023-12-08 12:16:58,Center
2023-12-08 12:17:19,Right
2023-12-08 12:17:19,Center
2023-12-08 12:17:54,Left
2023-12-08 12:17:55,Center
2023-12-08 12:18:19,Left
2023-12-08 12:18:20,Center
2023-12-08 12:18:27,Right
2023-12-08 12:18:27,Center
2023-12-08 12:18:34,Left
2023-12-08 12:18:34,Center
2023-12-08 12:18:41,Right
2023-12-08 12:18:41,Center
2023-12-08 12:18:41,Right
2023-12-08 12:18:41,Center
2023-12-08 12:18:51,Left
2023-12-08 12:18:52,Center
2023-12-08 12:18:59,Left
2023-12-08 12:18:59,Center
2023-12-08 12:19:13,Left
2023-12-08 12:19:13,Center
2023-12-08 12:19:53,Left
2023-12-08 12:19:53,Center
2023-12-08 12:19:53,Left
2023-12-08 12:19:54,Center
2023-12-08 12:19:55,Right
2023-12-08 12:19:56,Center
2023-12-08 12:19:56,Right
2023-12-08 12:19:57,Center
2023-12-08 12:21:55,Left
2023-12-08 12:21:56,Center
2023-12-08 12:22:06,Right
2023-12-08 12:22:07,Center

#End test

2023-12-08 12:22:22,Left
2023-12-08 12:22:22,Center
2023-12-08 12:22:23,Right
2023-12-08 12:22:26,Center
2023-12-08 12:22:26,Left
2023-12-08 12:23:04,Center
2023-12-08 12:23:06,Left
2023-12-08 12:24:29,Center
2023-12-08 12:24:31,Left
2023-12-08 12:24:33,Center
2023-12-08 12:24:34,Left
2023-12-08 12:24:40,Center
