Timestamp,State
2023-12-06 12:56:11,Right
2023-12-06 12:56:12,Center
2023-12-06 12:56:16,Right
2023-12-06 12:56:16,Center
2023-12-06 12:56:17,Left
2023-12-06 12:56:18,Center
2023-12-06 12:56:20,Right
2023-12-06 12:56:21,Center
2023-12-06 12:56:25,Right
2023-12-06 12:56:26,Center
2023-12-06 12:56:28,Right
2023-12-06 12:56:30,Center
2023-12-06 12:56:31,Left
2023-12-06 12:56:32,Center
2023-12-06 12:56:33,Right
2023-12-06 12:56:34,Center
2023-12-06 12:56:35,Left
2023-12-06 12:56:37,Center
2023-12-06 12:56:38,Right
2023-12-06 12:56:39,Center
2023-12-06 12:56:44,Right
2023-12-06 12:56:45,Center
2023-12-06 12:56:45,Right
2023-12-06 12:56:46,Center
2023-12-06 12:56:48,Right
2023-12-06 12:56:49,Center
2023-12-06 12:56:52,Right
2023-12-06 12:56:53,Center
2023-12-06 12:56:57,Left
2023-12-06 12:56:58,Center
2023-12-06 12:57:00,Left
2023-12-06 12:57:36,Center
2023-12-06 12:57:55,Left
2023-12-06 12:57:56,Center
2023-12-06 12:57:58,Right
2023-12-06 12:57:58,Center
2023-12-06 12:58:15,Left
2023-12-06 12:58:16,Center
2023-12-06 12:58:20,Right
2023-12-06 12:58:24,Center
2023-12-06 12:58:24,Left
2023-12-06 12:58:25,Center
2023-12-06 12:58:26,Right
2023-12-06 12:58:26,Center
2023-12-06 12:58:43,Left
2023-12-06 12:58:46,Center
2023-12-06 12:58:46,Left
2023-12-06 12:58:46,Center
2023-12-06 12:58:47,Left
2023-12-06 12:58:47,Center
2023-12-06 12:58:48,Left
2023-12-06 12:58:48,Center
2023-12-06 12:58:48,Left
2023-12-06 12:58:48,Center
2023-12-06 12:58:48,Left
2023-12-06 12:58:49,Center
2023-12-06 12:58:49,Left
2023-12-06 12:58:49,Center
2023-12-06 12:58:49,Left
2023-12-06 12:58:49,Center
2023-12-06 12:58:49,Left
2023-12-06 12:58:49,Center
2023-12-06 12:59:14,Left
2023-12-06 12:59:15,Center
2023-12-06 12:59:26,Right
2023-12-06 12:59:26,Center
2023-12-06 12:59:29,Left
2023-12-06 12:59:29,Center
2023-12-06 12:59:33,Right
2023-12-06 12:59:34,Center
2023-12-06 12:59:39,Left
2023-12-06 12:59:43,Center
2023-12-06 12:59:44,Right
2023-12-06 12:59:45,Center
2023-12-06 13:00:06,Left
2023-12-06 13:00:07,Center
2023-12-06 13:00:12,Right
2023-12-06 13:00:13,Center
2023-12-06 13:00:21,Left
2023-12-06 13:00:22,Center
2023-12-06 13:00:24,Right
2023-12-06 13:00:25,Center
2023-12-06 13:00:39,Left
2023-12-06 13:00:40,Center
2023-12-06 13:00:40,Left
2023-12-06 13:00:40,Center
2023-12-06 13:01:02,Right
2023-12-06 13:01:03,Center
2023-12-06 13:01:07,Right
2023-12-06 13:01:07,Center
2023-12-06 13:01:07,Right
2023-12-06 13:01:08,Center
2023-12-06 13:01:14,Right
2023-12-06 13:01:15,Center
2023-12-06 13:01:26,Left
2023-12-06 13:01:27,Center
2023-12-06 13:01:29,Right
2023-12-06 13:01:30,Center
