Timestamp,State
2023-12-07 13:03:29,Right
2023-12-07 13:04:36,Left
2023-12-07 13:06:40,Center
2023-12-07 13:06:41,Left
2023-12-07 13:06:42,Center
2023-12-07 13:06:43,Right
2023-12-07 13:06:44,Center
2023-12-07 13:06:44,Right
2023-12-07 13:06:44,Center
2023-12-07 13:06:48,Left
2023-12-07 13:06:48,Center
2023-12-07 13:07:39,Left
2023-12-07 13:07:52,Center
2023-12-07 13:07:58,Left
2023-12-07 13:08:25,Center
2023-12-07 13:08:34,Left
2023-12-07 13:08:34,Center
2023-12-07 13:09:12,Right
2023-12-07 13:09:12,Center
2023-12-07 13:09:12,Right
2023-12-07 13:09:12,Center
2023-12-07 13:09:13,Left
2023-12-07 13:09:14,Center
2023-12-07 13:09:18,Right
2023-12-07 13:09:19,Center
2023-12-07 13:09:28,Left
2023-12-07 13:09:29,Center
2023-12-07 13:10:16,Left
2023-12-07 13:10:17,Center
2023-12-07 13:10:45,Left
2023-12-07 13:10:45,Center
2023-12-07 13:10:53,Left
2023-12-07 13:10:53,Center
2023-12-07 13:10:59,Left
2023-12-07 13:10:59,Center
2023-12-07 13:11:00,Left
2023-12-07 13:11:01,Center
2023-12-07 13:11:01,Left
2023-12-07 13:11:03,Center
2023-12-07 13:11:05,Left
2023-12-07 13:11:05,Center
2023-12-07 13:11:06,Left
2023-12-07 13:11:06,Center
2023-12-07 13:11:24,Left
2023-12-07 13:11:25,Center
2023-12-07 13:11:33,Right
2023-12-07 13:11:37,Center
2023-12-07 13:11:39,Right
2023-12-07 13:11:39,Center
2023-12-07 13:11:40,Right
2023-12-07 13:11:40,Center
2023-12-07 13:12:12,Left
2023-12-07 13:12:13,Center
2023-12-07 13:12:15,Left
2023-12-07 13:12:15,Center
2023-12-07 13:12:23,Left
2023-12-07 13:12:24,Center
2023-12-07 13:12:24,Left
2023-12-07 13:12:24,Center
2023-12-07 13:12:32,Right
2023-12-07 13:12:36,Center
2023-12-07 13:12:53,Left
2023-12-07 13:12:53,Center
2023-12-07 13:12:59,Right
2023-12-07 13:13:03,Center
2023-12-07 13:13:23,Left
2023-12-07 13:13:23,Center
2023-12-07 13:13:30,Right
2023-12-07 13:13:33,Center
2023-12-07 13:13:34,Right
2023-12-07 13:13:35,Center
2023-12-07 13:13:35,Left
2023-12-07 13:13:36,Center
2023-12-07 13:13:36,Right
2023-12-07 13:13:37,Center
2023-12-07 13:13:55,Left
2023-12-07 13:13:55,Center
2023-12-07 13:13:56,Left
2023-12-07 13:13:57,Center
2023-12-07 13:14:25,Right
2023-12-07 13:14:26,Center
2023-12-07 13:14:31,Right
2023-12-07 13:14:31,Center
2023-12-07 13:15:00,Left
2023-12-07 13:15:01,Center
2023-12-07 13:15:14,Left
2023-12-07 13:15:14,Center
2023-12-07 13:15:16,Left
2023-12-07 13:15:16,Center
2023-12-07 13:15:16,Left
2023-12-07 13:15:16,Center
2023-12-07 13:15:21,Right
2023-12-07 13:15:21,Center
2023-12-07 13:15:50,Left
2023-12-07 13:15:50,Center
2023-12-07 13:16:31,Left
2023-12-07 13:16:31,Center
2023-12-07 13:16:32,Left
2023-12-07 13:16:33,Center
2023-12-07 13:16:42,Right
2023-12-07 13:16:42,Center
2023-12-07 13:16:49,Left
2023-12-07 13:16:49,Center
2023-12-07 13:16:50,Left
2023-12-07 13:16:50,Center
2023-12-07 13:17:00,Left
2023-12-07 13:17:00,Center
2023-12-07 13:17:35,Right
2023-12-07 13:17:35,Center
2023-12-07 13:17:44,Right
2023-12-07 13:17:44,Center
2023-12-07 13:17:52,Right
2023-12-07 13:17:52,Center
2023-12-07 13:18:33,Right
2023-12-07 13:18:34,Center
2023-12-07 13:18:43,Right
2023-12-07 13:18:43,Center
2023-12-07 13:18:43,Right
2023-12-07 13:18:43,Center
2023-12-07 13:18:53,Left
2023-12-07 13:18:54,Center
2023-12-07 13:18:58,Right
2023-12-07 13:18:58,Center
2023-12-07 13:19:05,Right
2023-12-07 13:19:05,Center
2023-12-07 13:19:14,Right
2023-12-07 13:19:14,Center
2023-12-07 13:19:23,Right
2023-12-07 13:19:23,Center
2023-12-07 13:19:32,Right
2023-12-07 13:19:32,Center
2023-12-07 13:19:43,Right
2023-12-07 13:19:43,Center
2023-12-07 13:19:49,Left
2023-12-07 13:19:49,Center
2023-12-07 13:19:50,Right
2023-12-07 13:19:50,Center
2023-12-07 13:19:51,Right
2023-12-07 13:19:51,Center
2023-12-07 13:19:51,Right
2023-12-07 13:19:52,Center
2023-12-07 13:20:02,Left
2023-12-07 13:20:02,Center
2023-12-07 13:20:05,Left
2023-12-07 13:20:07,Center
2023-12-07 13:20:08,Left
2023-12-07 13:21:34,Center
2023-12-07 13:21:35,Right
2023-12-07 13:21:35,Center
2023-12-07 13:21:35,Right
2023-12-07 13:21:35,Center
2023-12-07 13:21:35,Right
2023-12-07 13:21:35,Center
2023-12-07 13:21:36,Right
2023-12-07 13:21:36,Center
2023-12-07 13:21:36,Right
2023-12-07 13:21:36,Center
2023-12-07 13:21:37,Right
2023-12-07 13:21:37,Center
2023-12-07 13:21:37,Right
2023-12-07 13:21:37,Center
2023-12-07 13:21:45,Left
2023-12-07 13:21:46,Center
2023-12-07 13:21:51,Right
2023-12-07 13:21:52,Center
2023-12-07 13:24:14,Right
2023-12-07 13:24:15,Center
2023-12-07 13:25:15,Right
2023-12-07 13:25:17,Center
2023-12-07 13:25:22,Right
2023-12-07 13:25:23,Center
2023-12-07 13:25:28,Right
2023-12-07 13:25:28,Center
2023-12-07 13:26:04,Left
2023-12-07 13:26:48,Center
