Scene 1: 216,6351 seconds
Scene 2: 37,74707 seconds
Scene 3: 35,99904 seconds
Scene 4: 33,31577 seconds
Scene 4: 33,60376 seconds
Scene 4: 48,78873 seconds
Scene 4: 63,73724 seconds
Scene 4: 99,27103 seconds
Scene 4: 122,2952 seconds
Scene 4: 140,7562 seconds
Scene 4: 165,8077 seconds
Scene 4: 206,0125 seconds
Scene 4: 241,4739 seconds
Scene 4: 275,3596 seconds
Scene 4: 275,5828 seconds
Scene 4: 301,0444 seconds
Scene 1: 153,9744 seconds
Scene 2: 2,56485 seconds
Scene 1: 103,4532 seconds
Scene 2: 46,5298 seconds
Scene 3: 40,63831 seconds
Scene 4: 43,21419 seconds
Scene 4: 95,84184 seconds
Scene 5: 9,840332 seconds
Scene 5: 17,17233 seconds
Scene 5: 41,38419 seconds
Scene 5: 69,40359 seconds
Scene 6: 24,49496 seconds
Scene 6: 94,71451 seconds
Scene 7: 18,35617 seconds
Scene 7: 44,98669 seconds
Scene 7: 60,45486 seconds
Scene 7: 81,50671 seconds
Scene 7: 91,19275 seconds
Scene 7: 105,5995 seconds
Scene 7: 131,7436 seconds
Scene 7: 144,9181 seconds
Scene 7: 159,1432 seconds
Scene 7: 174,1609 seconds
Scene 1: 80,27347 seconds
Scene 2: 54,70932 seconds
Scene 3: 45,87814 seconds
Scene 4: 43,07907 seconds
Scene 4: 101,0855 seconds
Scene 5: 8,001862 seconds
Scene 5: 12,77805 seconds
Scene 5: 20,76266 seconds
Scene 5: 29,65546 seconds
Scene 5: 61,75531 seconds
Scene 6: 76,12479 seconds
Scene 6: 132,292 seconds
Scene 6: 219,1002 seconds
Scene 7: 24,02319 seconds
Scene 7: 34,81708 seconds
Scene 7: 97,97504 seconds
Scene 1: 153,2009 seconds
Scene 2: 33,83995 seconds
Scene 3: 32,94197 seconds
Scene 4: 44,45172 seconds
Scene 4: 129,8597 seconds
Scene 5: 35,15985 seconds
Scene 6: 47,20728 seconds
Scene 6: 100,0202 seconds
Scene 7: 16,79739 seconds
Scene 7: 46,80557 seconds
Scene 7: 68,30136 seconds
Scene 7: 101,2623 seconds
Scene 7: 101,3731 seconds
Scene 7: 115,1442 seconds
Scene 7: 182,352 seconds
Scene 7: 231,8409 seconds
Scene 1: 171,4467 seconds
Scene 2: 71,15369 seconds
Scene 3: 21,22122 seconds
Scene 4: 34,76093 seconds
Scene 4: 108,5911 seconds
Scene 4: 141,6436 seconds
Scene 5: 27,71774 seconds
Scene 6: 23,16031 seconds
Scene 6: 60,80002 seconds
Scene 6: 111,7371 seconds
Scene 7: 35,66113 seconds
Scene 7: 57,59381 seconds
Scene 7: 117,664 seconds
Scene 1: 279,5056 seconds
Scene 2: 42,65457 seconds
Scene 3: 36,74203 seconds
Scene 4: 63,41071 seconds
Scene 5: 11,03525 seconds
Scene 5: 25,22626 seconds
Scene 5: 47,73068 seconds
Scene 6: 15,09833 seconds
Scene 6: 36,78198 seconds
Scene 6: 61,17975 seconds
Scene 6: 76,87567 seconds
Scene 7: 13,23639 seconds
Scene 7: 32,91028 seconds
Scene 7: 45,93616 seconds
Scene 7: 59,43048 seconds
Scene 7: 61,23224 seconds
Scene 1: 191,7675 seconds
Scene 2: 51,498 seconds
Scene 3: 30,65501 seconds
Scene 4: 51,64352 seconds
Scene 4: 88,24341 seconds
Scene 4: 115,1981 seconds
Scene 5: 26,14072 seconds
Scene 5: 54,20193 seconds
Scene 6: 20,10983 seconds
Scene 6: 34,49872 seconds
Scene 6: 48,03442 seconds
Scene 7: 31,91751 seconds
Scene 7: 43,60599 seconds
Scene 7: 60,25552 seconds
Scene 7: 69,95535 seconds
Scene 7: 91,59305 seconds
Scene 7: 109,9591 seconds
Scene 7: 120,0156 seconds
