Timestamp,State
2023-12-06 13:26:00,Right
2023-12-06 13:26:01,Center
2023-12-06 13:26:21,Left
2023-12-06 13:26:22,Center
2023-12-06 13:26:22,Right
2023-12-06 13:26:23,Center
2023-12-06 13:26:24,Left
2023-12-06 13:26:25,Center
2023-12-06 13:26:25,Right
2023-12-06 13:26:26,Center
2023-12-06 13:26:26,Left
2023-12-06 13:26:27,Right
2023-12-06 13:26:28,Center
2023-12-06 13:26:28,Left
2023-12-06 13:26:29,Center
2023-12-06 13:26:29,Right
2023-12-06 13:26:30,Center
2023-12-06 13:26:30,Left
2023-12-06 13:26:31,Center
2023-12-06 13:26:46,Left
2023-12-06 13:26:46,Center
2023-12-06 13:26:50,Left
2023-12-06 13:26:51,Center
2023-12-06 13:26:52,Right
2023-12-06 13:26:52,Center
2023-12-06 13:26:53,Left
2023-12-06 13:26:54,Center
2023-12-06 13:26:54,Right
2023-12-06 13:26:55,Center
2023-12-06 13:26:56,Left
2023-12-06 13:26:56,Center
2023-12-06 13:26:57,Right
2023-12-06 13:26:58,Center
